Disease,Prakriti,Dietary Plan
Fever,Vata,"Consume warm, thin moong dal soups; favor light, cooked, and easily digestible meals; drink warm ginger-infused water."
,Pitta,"Sip cooling herbal teas like cilantro or mint; favor light, hydrating fruits; avoid hot spices and oily foods."
,Kapha,"Practice short-term light fasting with warm water; consume bitter, light vegetable broths; avoid heavy dairy and grains."
,Vata-Pitta,"Opt for warm but mild soups; avoid spicy or overly cooling foods; focus on hydrating, non-acidic cooked vegetables."
,Pitta-Kapha,"Drink cooling but light infusions; emphasize bitter and astringent herbs; avoid heavy, oily, or fermented foods."
,Vata-Kapha,"Take warm, light, and lightly spiced broths; emphasize ginger and black pepper; avoid cold or heavy, mucus-forming foods."
Cough,Vata,"Drink warm, lubricated fluids like milk with turmeric; consume warm, cooked grains; avoid dry, cold, or crunchy foods that aggravate the throat."
,Pitta,"Consume soothing, cooling herbs like licorice tea; avoid sharp, acidic, or heating spices; keep foods mild and moist."
,Kapha,"Use pungent, drying herbs like dry ginger and black pepper; prioritize light, spicy soups; strictly avoid dairy and sweets."
,Vata-Pitta,"Use mild, soothing warm broths; avoid extremes of heat or cold; prioritize cooked vegetables and gentle hydration."
,Pitta-Kapha,"Focus on drying, light, and cooling foods; avoid heavy, sweet, or oily meals; emphasize bitter greens to clear congestion."
,Vata-Kapha,"Use ginger-honey mixtures for warmth; prioritize light, warm, dry-cooked grains; avoid cold liquids and fermented items."
Indigestion,Vata,"Eat warm, freshly cooked meals with ghee; prefer soft khichdi with cumin and fennel; avoid raw, cold, or stale foods."
,Pitta,"Favor cooling, bland foods like rice and coconut; avoid sour, fermented, or spicy meals; drink cumin-coriander water."
,Kapha,"Use pungent spices like ginger and black pepper; eat light, dry-cooked meals; avoid heavy, oily, or fried foods."
,Vata-Pitta,"Consume warm but mild meals with moderate ghee; avoid excessively sour or cold foods; prefer cumin-fennel herbal water."
,Pitta-Kapha,"Choose light, non-oily meals with bitter herbs; avoid heavy dairy, fermented, or fried foods; drink warm fennel water."
,Vata-Kapha,"Eat warm, lightly spiced meals with ginger and ajwain; avoid cold, raw, or heavy grains; drink warm water frequently."
Acidity,Vata,"Eat warm, nourishing meals with mild spices; include ghee-laced rice and moong dal; avoid dry, rough, or stimulating foods."
,Pitta,"Consume cooling foods like cucumber, coconut water, and amla; avoid spicy, sour, fermented, or fried foods entirely."
,Kapha,"Take light, warm meals with bitter vegetables; use dry ginger and turmeric; avoid heavy, sweet, or cold dairy products."
,Vata-Pitta,"Prefer warm, unctuous foods like khichdi with mild cooling herbs; avoid very sour, pungent, or extremely cold items."
,Pitta-Kapha,"Focus on bitter, astringent foods; avoid oily, sour, and fermented preparations; drink aloe vera juice and coriander water."
,Vata-Kapha,"Eat warm, well-cooked meals with cumin and fennel; avoid excessively sour, cold, or mucus-forming heavy foods."
Constipation,Vata,"Include warm, moist, high-fiber foods like soaked figs and prunes; use ghee in meals; drink warm water with Triphala at bedtime."
,Pitta,"Eat cooling, fiber-rich fruits like pomegranate and papaya; avoid hot spices; consume isabgol husk with cool water before bed."
,Kapha,"Take light, dry, fiber-rich meals with warm spices; avoid heavy dairy and starchy foods; drink warm water with honey."
,Vata-Pitta,"Consume warm, moist, fiber-rich meals; add mild ghee and fennel; avoid very heating or drying foods; take Triphala at night."
,Pitta-Kapha,"Focus on light, cooling, high-fiber foods; avoid oily, fried, or heavy grains; take aloe vera juice before meals."
,Vata-Kapha,"Take warm, moist, fiber-rich meals with ginger and ajwain; avoid cold, heavy, or mucus-forming foods; use Triphala regularly."
Skin Diseases,Vata,"Consume warm, nourishing, ghee-rich meals; include Omega-3 sources like walnuts and flaxseeds; avoid dry, cold, or raw foods."
,Pitta,"Favor cooling, bitter vegetables like neem, bitter gourd, and aloe vera; avoid spicy, sour, fermented, and fried foods."
,Kapha,"Eat light, detoxifying meals with turmeric and neem; avoid heavy, oily, or sweet dairy-based foods; drink warm lemon water."
,Vata-Pitta,"Take warm but mild, anti-inflammatory meals; include turmeric milk and flaxseeds; avoid overly spicy or cold and dry foods."
,Pitta-Kapha,"Focus on light, cooling, bitter foods; avoid heavy, oily, fermented, or sweet preparations; drink neem-infused water daily."
,Vata-Kapha,"Eat warm, light, well-spiced meals; include turmeric, neem, and fenugreek; avoid heavy dairy, fried, or cold raw foods."
Inflammation,Vata,"Eat warm, easily digestible, anti-inflammatory meals with turmeric and ghee; avoid cold, raw, or stimulating foods."
,Pitta,"Focus on cooling, anti-inflammatory herbs like turmeric and aloe vera; avoid hot, spicy, acidic, and fried foods."
,Kapha,"Choose light, warming, anti-inflammatory spices; eat dry-cooked, bitter foods; avoid heavy, sweet, oily, or dairy-rich meals."
