recommendation_id,user_id,product_id,product_title,category,brand,recommendation_score,recommendation_reason,recommended_at,clicked,purchased
REC00000001,U000001,1012775,Lifestyle Shri Shivay Namastubhayam Wall Hanging For Home Decoration Wall Decor Items (multicolor ),Wall Accents,PRAKRITI,0.92,Trending now,2025-12-02 18:10:21,False,False
REC00000002,U000001,896118,Men's Waffle Polo Plain Maroon T-shirt With Plain Waffle Maroon Shorts Co-ords,Co-ord Sets,TRIPR,0.96,Similar to your past purchases,2025-12-03 11:10:21,True,False
REC00000003,U000001,950140,"Timeless Glass Designs For Every Occasion, 200 Ml, Capacity, Pack Of 12, Size: 12 X 6.5 X 6.5 Cm",Bar Necessities,Afast,0.7,Price drop alert,2025-12-02 07:10:21,False,False
REC00000004,U000001,612530,"Reed Diffuser Set Elite-essence Fragrance 120ml Glass Bottle, Aromatic Diffuser, Gift Set With 5 Black Fiber Sticks",Diffusers,Global Aroma,0.97,Price drop alert,2025-12-02 06:10:21,False,True
REC00000005,U000001,899608,Cool Glass Ash Tray: Sleek Design For Ashes With Style 10.5 X 10.5 X 3.5 Cm,Serveware,Afast,0.92,Similar to your past purchases,2025-12-02 05:10:21,True,False
REC00000006,U000001,787062,Womens Boxy Regular Embroidery Crew Neck Tshirt,Tees,DILLINGER,0.83,Price drop alert,2025-12-01 14:10:21,True,False
REC00000007,U000001,428848,Men's Pink Heathered Korean Oversized Shirt,Casuals,Campus Sutra,0.86,Popular in your area,2025-12-03 07:10:21,True,True
REC00000008,U000001,496872,Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2,Oversized Tees,BULLMER,0.95,Similar to your past purchases,2025-12-03 08:10:21,True,False
REC00000009,U000001,496872,Lavender & Red Cotton Round Neck Half Sleeve Printed Oversized T-shirt - Pack Of 2,Oversized Tees,BULLMER,0.97,Trending now,2025-12-01 14:10:21,False,False
REC00000010,U000001,792468,Auto Sight Wi-fi Dash Camera - Grey,Security,Gizmore,0.93,Trending now,2025-12-03 03:10:21,True,False
REC00000011,U000001,1053640,"Bring Your Own Mug Illustration Printed Ceramic Coffee Mug 350 Ml, White 9.5 X 7.5 X 1 Cm",Dinnerware,Ethnic Darzi,0.95,Popular in your area,2025-12-03 05:10:21,False,False
REC00000012,U000001,428848,Men's Pink Heathered Korean Oversized Shirt,Casuals,Campus Sutra,0.8,Based on your browsing history,2025-12-01 04:10:21,False,True
REC00000013,U000001,243944,Men Originals White Block Collar Neck Printed T-shirts,Polos,The Souled Store,0.69,Similar to your past purchases,2025-12-02 17:10:21,True,True
REC00000014,U000002,899608,Cool Glass Ash Tray: Sleek Design For Ashes With Style 10.5 X 10.5 X 3.5 Cm,Serveware,Afast,0.84,Similar to your past purchases,2025-12-02 22:10:21,False,True
REC00000015,U000002,1012775,Lifestyle Shri Shivay Namastubhayam Wall Hanging For Home Decoration Wall Decor Items (multicolor ),Wall Accents,PRAKRITI,0.96,Popular in your area,2025-12-02 14:10:21,False,True
REC00000016,U000002,949860,"Celebrate Special Times With Party Perfect Whisky Glasses! Cheers To Fun Moments, Clear, Capacity - 250 Ml, Pack Of 11, Size - 8.5 X 8.5 X 9.5 Cm",Bar Necessities,Afast,0.61,Popular in your area,2025-12-01 21:10:21,False,False
REC00000017,U000002,896118,Men's Waffle Polo Plain Maroon T-shirt With Plain Waffle Maroon Shorts Co-ords,Co-ord Sets,TRIPR,0.78,Price drop alert,2025-12-03 09:10:21,False,False
REC00000018,U000002,428848,Men's Pink Heathered Korean Oversized Shirt,Casuals,Campus Sutra,0.97,Within your popCoin balance,2025-12-03 08:10:21,True,False
REC00000019,U000002,950618,"Beautiful Wine Glasses For Memorable Moments, 150 Ml, Capacity, Pack Of 12, Size: 16.5 X 8 X 8 Cm",Bar Necessities,Afast,0.68,Price drop alert,2025-12-01 08:10:21,True,False
REC00000020,U000002,134472,Organic Cotton Stretch Chino In Beige- Slim Fit,Trousers,SUBTRACT,0.93,Within your popCoin balance,2025-11-30 21:10:21,False,False
REC00000021,U000002,428848,Men's Pink Heathered Korean Oversized Shirt,Casuals,Campus Sutra,0.81,Trending now,2025-12-03 09:10:21,True,True
